ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
ANC,SEA,1448,1/10/2008,61.17432,-149.99619
LAX,PBI,2330,1/11/1990,33.94254,-118.40807
SFO,CLT,2296,1/12/1990,37.619,-122.37484
LAX,MIA,2342,1/10/1990,33.94254,-118.40807
SEA,ANC,1448,1/02/1990,47.44898,-122.30931
SFO,MSP,1589,1/03/1990,37.619,-122.37484
LAS,MSP,1299,1/01/1990,36.08036,-115.15233
LAX,CLT,2125,1/09/1990,33.94254,-118.40807
SFO,DFW,1464,1/11/1990,37.619,-122.37484
LAS,ATL,1747,1/02/1990,36.08036,-115.15233
DEN,ATL,1199,1/01/1990,39.85841,-104.667
LAS,MIA,2174,1/02/1990,36.08036,-115.15233
LAX,MSP,1535,1/03/1990,33.94254,-118.40807
SLC,ATL,1590,1/04/1990,40.78839,-111.97777
SEA,MSP,1399,1/01/1990,47.44898,-122.30931
ANC,SEA,1448,1/01/1990,61.17432,-149.99619
ANC,SEA,1448,1/10/1990,61.17432,-149.99619
SFO,IAH,1635,1/06/1990,37.619,-122.37484
ANC,PDX,1542,1/02/1990,61.17432,-149.99619
PDX,MSP,1426,1/02/1990,45.58872,-122.5975
LAS,MCI,1139,1/10/1990,36.08036,-115.15233
SEA,MIA,2724,1/09/1990,47.44898,-122.30931
LAS,DFW,1055,1/09/1990,36.08036,-115.15233
LAX,MIA,2342,1/06/1990,33.94254,-118.40807
LAS,MSP,1299,1/03/1990,36.08036,-115.15233
LAX,IAH,1379,1/08/1990,33.94254,-118.40807
FAI,SEA,1533,1/03/1990,64.81368,-147.85967
MSP,FLL,1487,1/11/1990,44.88055,-93.21692
LAS,CLT,1916,1/04/1990,36.08036,-115.15233
DEN,MIA,1709,1/12/1990,39.85841,-104.667
PHX,ORD,1440,1/04/1990,33.43417,-112.00806
PHX,MIA,1972,1/05/1990,33.43417,-112.00806
ANC,SEA,1448,1/08/1990,61.17432,-149.99619
SLC,ATL,1590,1/05/1990,40.78839,-111.97777
LAS,IAH,1222,1/11/1990,36.08036,-115.15233
LAS,HNL,2762,1/12/1990,36.08036,-115.15233
ANC,PHX,2552,1/07/1990,61.17432,-149.99619
SJU,EWR,1608,1/07/1990,18.43942,-66.00183
ANC,SEA,1448,1/01/1990,61.17432,-149.99619
SJU,JFK,1598,1/08/1990,18.43942,-66.00183
PBG,FLL,1334,1/08/1990,0,0
PHX,DFW,868,1/04/1990,33.43417,-112.00806
PHX,DFW,868,1/07/1990,33.43417,-112.00806
ANC,PDX,1542,1/07/1990,61.17432,-149.99619
IAG,FLL,1176,1/10/1990,43.10726,-78.94538
SJU,EWR,1608,1/01/1990,18.43942,-66.00183
PHX,CLT,1773,1/02/1990,33.43417,-112.00806
ANC,SEA,1448,1/10/1990,61.17432,-149.99619
PSE,MCO,1179,1/09/1990,18.0083,-66.56301
BQN,EWR,1585,1/03/1990,18.49486,-67.12944
BQN,MCO,1129,1/09/1990,18.49486,-67.12944
SJU,BOS,1674,1/04/1990,18.43942,-66.00183
SJU,MCO,1189,1/06/1990,18.43942,-66.00183
BQN,MCO,1129,1/01/1990,18.49486,-67.12944
PSE,MCO,1179,1/06/1990,18.0083,-66.56301
SJU,BDL,1666,1/08/1990,18.43942,-66.00183
ORD,PHX,1440,1/03/1990,41.9796,-87.90446
GEG,SEA,224,1/05/1990,47.61986,-117.53384
HNL,ITO,216,1/12/1990,21.31869,-157.92241
ONT,SFO,363,1/11/1990,34.056,-117.60119
HNL,KOA,163,1/12/1990,21.31869,-157.92241
ANC,SEA,1448,1/11/1990,61.17432,-149.99619
HNL,OGG,100,1/11/1990,21.31869,-157.92241
ORD,IAH,925,1/03/1990,41.9796,-87.90446
MCO,MIA,192,1/04/1990,28.42889,-81.31603
